Año,Mes,Total,Ilocalizable,No Contesta,D. Incorrectos,Duplicados,Efectivos,Abiertos,Ventas,Conversion (%),Efectividad de Leads (%)
2024,Enero,,,,,,,,,,
2024,Febrero,543.0,108.0,33.0,0.0,1.0,389.0,1.0,12.0,3.1,72.0
2024,Marzo,178.0,37.0,13.0,0.0,0.0,128.0,1.0,7.0,5.5,72.0
2024,Abril,416.0,79.0,46.0,3.0,0.0,288.0,1.0,8.0,2.8,69.0
2024,Mayo,422.0,33.0,100.0,17.0,0.0,274.0,5.0,13.0,4.7,65.0
2024,Junio,967.0,140.0,173.0,31.0,3.0,620.0,17.0,6.0,1.0,64.0
2024,Julio,954.0,112.0,251.0,12.0,9.0,570.0,5.0,21.0,3.7,60.0
2024,Agosto,1409.0,504.0,324.0,17.0,18.0,546.0,22.0,17.0,3.1,39.0
2024,Septiembre,1315.0,431.0,314.0,14.0,26.0,530.0,42.0,17.0,3.2,40.0
2024,Octubre,1973.0,514.0,606.0,18.0,13.0,822.0,72.0,23.0,2.8,42.0
2024,Noviembre,1562.0,153.0,321.0,44.0,4.0,1040.0,79.0,22.0,2.1,67.0
2024,Diciembre,1282.0,374.0,193.0,60.0,53.0,965.0,330.0,32.0,3.3,75.0
2025,Enero,1042.0,17.0,104.0,62.0,136.0,723.0,222.0,26.0,3.6,69.0
2025,Febrero,561.0,9.0,39.0,14.0,31.0,468.0,150.0,20.0,4.3,83.0
2025,Marzo,925.0,39.0,98.0,3.0,54.0,731.0,125.0,30.0,4.1,79.0
2025,Abril,1149.0,51.0,134.0,8.0,84.0,872.0,141.0,30.0,3.4,76.0
2025,Mayo,815.0,5.0,75.0,2.0,14.0,574.0,179.0,34.0,5.9,70.0
2025,Junio,1083.0,62.0,266.0,5.0,56.0,694.0,315.0,40.0,5.8,64.0
2025,Julio,1358.0,128.0,241.0,3.0,93.0,893.0,290.0,36.0,4.0,66.0
2025,Agosto,1419.0,81.0,591.0,7.0,59.0,681.0,338.0,27.0,4.0,48.0
2025,Septiembre,1100.0,32.0,401.0,9.0,18.0,660.0,229.0,38.0,5.8,60.0
2025,Octubre,1192.0,67.0,413.0,0.0,17.0,695.0,288.0,40.0,5.8,58.0
2025,Noviembre,1061.0,46.0,218.0,1.0,52.0,744.0,488.0,41.0,5.5,70.0
2025,Diciembre,1534.0,125.0,194.0,34.0,44.0,729.0,823.0,34.0,4.7,48.0
2026,Enero,1516.0,148.0,187.0,52.0,53.0,714.0,602.0,37.0,5.2,47.0
2026,Febrero,1235.0,116.0,106.0,8.0,31.0,730.0,523.0,30.0,4.1,59.0
2026,Marzo,1785.0,228.0,184.0,48.0,32.0,944.0,698.0,38.0,4.0,53.0
2026,Abril,1393.0,212.0,123.0,38.0,28.0,724.0,559.0,41.0,5.7,52.0
2026,Mayo,1251.0,158.0,116.0,25.0,19.0,736.0,458.0,35.0,4.8,59.0
