Año,Mes,Leads,Efectivos,Ventas Reportadas,Obj Ventas,Ventas Real,% CAL,Obj Conversion,Conversion,% CAL,Obj UN,UN,%  CAL,Obj SDC,SDC,%  CAL,Autorizadas,Formalizado,Contado,Credito,% Autorizadas,% Formalizadas,Obj PDM,PDM,%  CAL,% / Conversion Venta- PDM,Variacion,Lead / Venta,Flotillas,RDC,Obj Marca,Cumpliento,% Formalizadas / Autorizadas,Proyeccion,Diferencia
2024,Febrero,543,389,12,20,12,60%,3.5%,3.08%,88%,,,0,10,6,60%,2,1,10,1,33.33%,16.67%,25,24,96%,50%,,45.3,,,,0%,50%,,
2024,Marzo,178,128,7,20,7,35%,3.5%,5.47%,156%,,,0,10,11,110%,7,5,4,3,63.64%,45.45%,30,25,83%,28%,-41.7%,25.4,,,,0%,71%,,
2024,Abril,416,288,8,20,8,40%,3.5%,2.78%,79%,,,0,15,23,153%,14,11,2,6,60.87%,47.83%,35,35,100%,23%,14.3%,52.0,,,,0%,79%,,
2024,Mayo,422,274,13,20,13,65%,3.5%,4.74%,136%,,,0,15,26,173%,8,3,3,10,30.77%,11.54%,55,54,98%,24%,62.5%,32.5,,,,0%,38%,,
2024,Junio,967,620,6,20,6,30%,3.5%,0.97%,28%,,,0,25,43,172%,13,6,0,6,30.23%,13.95%,50,54,108%,11%,-53.8%,161.2,,,,0%,46%,,
2024,Julio,954,570,21,20,21,105%,3.5%,3.68%,105%,,,0,35,55,157%,30,17,7,14,54.55%,30.91%,55,58,105%,36%,250.0%,45.4,,,,0%,57%,22,-1
2024,Agosto,"1,409",546,17,20,17,85%,3.5%,3.11%,89%,,,0,35,36,103%,19,9,2,15,52.78%,25.00%,75,61,81%,28%,-19.0%,82.9,,,,0%,47%,21,-4
2024,Septiembre,"1,315",530,17,20,17,85%,3.7%,3.21%,87%,,,0,40,56,140%,26,7,6,11,46.43%,12.50%,70,75,107%,23%,0.0%,77.4,,,,0%,27%,20,-3
2024,Octubre,"1,973",822,23,20,23,115%,3.0%,2.80%,93%,,,0,70,79,113%,31,14,2,21,39.24%,17.72%,85,57,67%,40%,35.3%,85.8,,,,0%,45%,31,-8
2024,Noviembre,"1,562","1,040",22,25,22,88%,3.0%,2.12%,71%,,,0,75,76,101%,25,14,4,18,32.89%,18.42%,90,92,102%,24%,-4.3%,71.0,,,,0%,56%,40,-18
